Crop Type,Common Diseases,Fertilizer Name,Soil Type,Temparature,Humidity,Moisture,Nitrogen,Potassium,Phosphorous
Maize,"Downy Mildew, Common Rust, Leaf Blight",Urea,Sandy,26,52,38,37,0,0
Sugarcane,"Red Rot, Smut, Wilt, Grassy Shoot",DAP,Loamy,29,52,45,12,0,36
Cotton,"Bacterial Blight, Fusarium Wilt, Boll Rot",14-35-14,Black,34,65,62,7,9,30
Tobacco,"Leaf Curl Virus, Mosaic Virus, Black Shank",28-28,Red,32,62,34,22,0,20
Rice,"Rice Blast, Brown Spot, Bacterial Leaf Blight",Urea,Clayey,28,54,46,35,0,0
Barley,"Covered Smut, Powdery Mildew, Leaf Spot",17-17-17,Sandy,26,52,35,12,10,13
Cotton,"Bacterial Blight, Fusarium Wilt, Boll Rot",20-20,Red,25,50,64,9,0,10
Wheat,"Stem Rust, Loose Smut, Karnal Bunt",Urea,Loamy,33,64,50,41,0,0
Millets,"Downy Mildew, Blast, Grain Smut",28-28,Sandy,30,60,42,21,0,18
Oil seeds,"White Rust, Alternaria Leaf Spot, Downy Mildew",14-35-14,Black,29,58,33,9,7,30
Pulses,"Fusarium Wilt, Powdery Mildew, Root Rot",DAP,Clayey,27,54,28,13,0,40
Maize,"Downy Mildew, Common Rust, Leaf Blight",17-17-17,Sandy,31,62,48,14,15,12
Cotton,"Bacterial Blight, Fusarium Wilt, Boll Rot",Urea,Loamy,25,50,65,36,0,0
Rice,"Rice Blast, Brown Spot, Bacterial Leaf Blight",28-28,Clayey,32,62,41,24,0,22
Ground Nuts,"Tikka Disease (Leaf Spot), Rust, Collar Rot",DAP,Red,26,52,31,14,0,41
Sugarcane,"Red Rot, Smut, Wilt, Grassy Shoot",17-17-17,Black,31,62,49,10,13,14
Pulses,"Fusarium Wilt, Powdery Mildew, Root Rot",Urea,Clayey,33,64,34,38,0,0
Barley,"Covered Smut, Powdery Mildew, Leaf Spot",28-28,Sandy,25,50,39,21,0,19
Cotton,"Bacterial Blight, Fusarium Wilt, Boll Rot",Urea,Black,28,54,65,39,0,0
Wheat,"Stem Rust, Loose Smut, Karnal Bunt",DAP,Loamy,29,58,52,13,0,36
Millets,"Downy Mildew, Blast, Grain Smut",20-20,Sandy,30,60,44,10,0,9
Sugarcane,"Red Rot, Smut, Wilt, Grassy Shoot",17-17-17,Loamy,34,65,53,12,14,12
